Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month
2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,November
2016-06-12,2016-06-16,Second Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,June
2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,October
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,June
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,2014,June
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,June
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,June
2017-04-15,2017-04-20,Standard Class,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,April
2014-05-13,2014-05-15,Second Class,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2014,May
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,2014,August
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2014,August
